回,日付,数字1,数字2,数字3,数字4,数字5,ボーナス数字,一等の当選数,二等の当選数,三等の当選数,四等の当選数,一等当選金額,二等当選金額,三等当選金額,四等当選金額
0939,2017/09/05,08,12,20,23,28,16,18,117,1917,49125,8136300,89900,9500,900
0938,2017/08/29,04,09,16,21,22,01,25,61,2110,49604,5812500,171100,8500,900
0937,2017/08/22,05,12,13,15,24,25,15,63,1599,47584,9476000,162000,11000,900
0936,2017/08/15,07,21,23,25,31,10,11,55,1299,39669,12396900,178100,13000,1100
0935,2017/08/08,03,11,13,20,31,16,8,48,1376,41186,17283400,206900,12500,1000
0934,2017/08/01,03,07,08,11,13,04,15,85,2232,53777,9475800,120100,7900,800
0933,2017/07/25,03,04,22,26,29,05,6,65,1460,44474,23706000,157200,12100,1000
0932,2017/07/18,01,03,14,17,19,23,8,71,1286,41211,17562600,142100,13600,1100
0931,2017/07/11,02,03,18,24,25,09,11,110,1841,50368,13286200,95400,9800,900
0930,2017/07/04,09,14,24,25,27,16,12,57,1714,49396,12136700,183500,10500,900
0929,2017/06/27,02,04,05,11,20,22,9,68,1816,51442,16453400,156400,10100,900
0928,2017/06/20,04,09,11,19,23,22,16,105,2312,54487,9215200,100800,7900,800
0927,2017/06/13,01,06,07,17,18,16,11,69,1495,43960,13049200,149400,11900,1000
0926,2017/06/06,03,09,18,27,29,26,26,64,2346,50732,5506100,160700,7500,900
0925,2017/05/30,09,14,19,27,30,16,8,53,1814,45848,18097900,196200,9900,1000
0924,2017/05/23,02,07,08,14,23,15,20,114,2612,58438,7222800,91000,6800,800
0923,2017/05/16,08,20,21,22,27,19,9,59,1491,42871,16244800,178000,12200,1100
0922,2017/05/09,02,13,14,21,22,07,8,82,1516,45865,18147700,127100,11900,1000
0921,2017/05/02,06,08,10,14,30,13,13,60,1985,52761,11675400,181700,9500,900
0920,2017/04/25,05,15,22,24,25,30,12,75,1801,49221,12658300,145500,10500,1000
0919,2017/04/18,04,07,09,15,23,11,12,127,2290,55044,12582800,85400,8200,800
0918,2017/04/11,16,20,22,27,29,30,5,36,1245,38025,28662500,285900,14300,1200
0917,2017/04/04,01,09,10,24,27,13,21,65,1572,42884,7059300,163800,11700,1100
0916,2017/03/28,17,18,23,28,30,05,15,106,1681,49396,9996500,101600,11100,900
0915,2017/03/21,14,22,24,26,27,07,11,65,1321,41427,13224800,160700,13700,1100
0914,2017/03/14,02,07,15,19,24,22,22,69,2054,50030,6916900,158400,9200,900
