回,日付,数字1,数字2,数字3,数字4,数字5,ボーナス数字,一等の当選数,二等の当選数,三等の当選数,四等の当選数,一等当選金額,二等当選金額,三等当選金額,四等当選金額
0913,2017/03/07,02,09,17,21,23,28,24,72,2186,52636,6538300,156500,8900,900
0912,2017/02/28,09,12,19,21,22,18,15,74,1680,48357,10724100,156100,11900,1000
0911,2017/02/21,02,03,04,13,16,17,7,47,1495,48938,22609500,241900,13100,1000
0910,2017/02/14,10,14,20,26,30,03,9,80,1487,42451,16973400,137100,12700,1100
0909,2017/02/07,03,12,14,20,27,22,10,61,1750,47976,15532800,182900,11000,1000
0908,2017/01/31,18,19,21,23,31,17,17,92,1684,46524,9298100,123400,11600,1100
0907,2017/01/24,03,04,10,22,31,06,12,66,2066,52223,12695700,165800,9100,900
0906,2017/01/17,02,04,06,07,23,26,8,66,1795,53600,19387700,168800,10700,900
0905,2017/01/10,04,17,18,22,27,10,19,80,2247,59030,9044100,154300,9500,900
0904,2016/12/27,03,05,08,17,21,14,18,72,2235,56275,8964300,161000,8900,900
0903,2016/12/20,02,05,21,24,29,04,6,52,1678,50119,26177300,216900,11600,1000
0902,2016/12/13,06,08,16,22,28,27,11,72,2225,51266,13675900,150100,8400,900
0901,2016/12/06,02,10,13,23,24,27,11,68,1895,48512,13647000,158500,9800,1000
0900,2016/11/29,01,15,18,22,25,29,6,40,1411,40249,24704000,266200,13000,1100
0899,2016/11/22,01,07,19,20,31,29,24,62,1703,42822,6155900,171100,10800,1100
0898,2016/11/15,05,07,20,24,25,17,8,91,1803,46866,18456900,116500,10100,1000
0897,2016/11/08,16,17,18,23,31,29,5,57,1345,42416,29102600,183400,13400,1100
0896,2016/11/01,11,13,16,17,26,30,8,58,1332,41767,18628800,184500,13900,1100
0895,2016/10/25,07,08,09,11,14,22,21,64,1772,48913,7073000,166700,10400,900
0894,2016/10/18,11,16,21,23,30,25,8,39,1730,47405,18528200,273000,10600,1000
0893,2016/10/11,11,14,20,22,25,05,13,87,1662,44838,10949400,117500,10600,1000
0892,2016/10/04,02,03,12,19,21,05,6,74,1740,47317,24463100,142400,10500,1000
0891,2016/09/27,10,17,29,30,31,25,7,35,1932,48025,21013900,301900,9400,900
0890,2016/09/20,01,07,12,24,31,06,28,70,1949,45441,4956200,142400,8800,900
0889,2016/09/13,05,06,12,17,22,23,13,79,1875,48574,11311900,133700,9700,900
0888,2016/09/06,06,17,24,29,31,03,11,94,1876,48509,13520000,113600,9800,900
0887,2016/08/30,03,04,19,28,29,23,14,55,1751,48150,10717100,195900,10600,1000
0886,2016/08/23,01,11,20,23,29,13,9,44,1605,42954,16226200,238400,11300,1100
0885,2016/08/16,09,17,21,24,27,11,9,60,1585,45000,15847200,170700,11200,1000
0884,2016/08/09,07,10,22,27,31,02,9,83,1595,45975,15562600,121200,10900,900
0883,2016/08/02,01,17,18,21,25,23,6,39,1330,37388,24209500,267500,13500,1200
0882,2016/07/26,02,07,08,18,30,21,10,75,1917,51487,14563100,139400,9400,900
0881,2016/07/19,10,11,17,29,30,15,17,81,1911,49490,8412500,126800,9300,900
0880,2016/07/12,05,07,11,12,21,18,24,78,2409,55457,6226600,137600,7700,800
0879,2016/07/05,02,13,24,27,31,12,12,77,1832,48590,12665000,141700,10300,1000
0878,2016/06/28,02,03,08,28,29,26,13,64,2192,53338,11668900,170200,8600,900
0877,2016/06/21,05,14,20,22,23,16,11,55,1730,46561,13741200,197400,10800,1000
0876,2016/06/14,18,19,20,21,27,15,7,45,1311,40193,20846400,232900,13800,1100
0875,2016/06/07,02,03,08,11,28,10,31,109,2753,61654,4770400,97400,6600,700
0874,2016/05/31,06,07,08,22,24,18,13,73,1663,47624,11486100,146900,11100,1000
0873,2016/05/24,04,06,10,23,29,03,16,68,1940,49099,9228500,155900,9400,900
0872,2016/05/17,15,16,24,28,30,26,12,46,1972,53300,12375800,231900,9300,900
0871,2016/05/10,04,17,24,27,31,19,21,78,2331,54399,7114400,137600,7900,800
0870,2016/05/03,03,12,22,23,31,24,19,70,2353,52665,7642500,149000,7600,800
0869,2016/04/26,02,14,16,19,30,05,9,72,1612,45025,17352400,155800,12000,1100
0868,2016/04/19,01,09,14,25,30,31,17,61,1750,44154,9124800,182600,11000,1100
0867,2016/04/12,13,23,24,28,30,31,8,52,1283,40991,18976300,209700,14700,1200
0866,2016/04/05,04,16,18,26,28,09,17,89,1677,48337,9056900,124200,11400,1000
0865,2016/03/29,03,08,16,17,31,09,9,71,2355,55998,16893400,153800,8000,800
0864,2016/03/22,14,18,26,28,30,08,5,64,1419,40758,29656700,166400,13000,1100
0863,2016/03/15,01,02,11,27,28,21,15,50,1827,49322,10148300,218700,10300,1000
0862,2016/03/08,03,07,09,13,23,06,13,98,2226,56624,11963100,114000,8600,800
0861,2016/03/01,04,08,12,17,27,03,18,75,2320,58184,8790000,151500,8400,800
0860,2016/02/23,08,09,21,30,31,07,23,101,2223,50587,6880300,112500,8800,1000
0859,2016/02/16,13,17,19,28,31,25,10,72,1521,45517,15935200,159000,13000,1100
0858,2016/02/09,06,14,15,25,26,22,16,50,2001,49135,9650200,221800,9600,1000
0857,2016/02/02,02,04,21,24,28,29,7,42,1562,46038,21937200,262600,12200,1000
0856,2016/01/26,01,10,15,24,29,09,14,80,1664,43832,10760500,135200,11200,1100
0855,2016/01/19,02,07,17,22,24,25,11,75,1835,48760,13440200,141600,10000,900
0854,2016/01/12,03,16,22,23,31,10,23,116,2077,53025,6520800,92800,8900,900
0853,2016/01/05,06,11,17,18,30,28,16,64,1981,47051,8329800,149600,8300,900
0852,2015/12/29,02,09,15,18,22,12,15,50,2493,55565,10399800,224100,7700,900
0851,2015/12/22,10,19,20,24,31,23,6,60,1399,41317,24575100,176500,13100,1100
0850,2015/12/15,01,02,13,15,18,28,2,49,1338,39895,40000000,1595600,13700,1200
0849,2015/12/08,04,14,17,19,20,26,10,48,1215,37527,14063000,210400,14400,1200
0848,2015/12/01,02,03,22,29,31,01,7,53,1326,42176,20067200,190400,13100,1000
0847,2015/11/24,07,18,19,21,31,15,12,59,1605,40173,11345100,165700,10500,1100
0846,2015/11/17,01,17,27,30,31,08,9,50,1300,35531,15513400,200600,13300,1200
0845,2015/11/10,03,10,22,24,30,28,12,51,1707,46473,11740300,198400,10200,900
0844,2015/11/03,03,11,14,22,26,01,28,72,2442,53552,4897200,136800,6900,800
0843,2015/10/27,02,14,23,28,30,26,11,76,1794,45914,13206500,137300,10000,1000
0842,2015/10/20,09,18,20,24,25,04,7,68,1462,42376,20543000,151900,12200,1100
0841,2015/10/13,05,06,07,13,18,08,11,45,1670,46907,12419100,218000,10100,900
0840,2015/10/06,01,05,11,15,31,08,30,84,2098,50827,4744400,121700,8400,900
0839,2015/09/29,02,06,14,27,30,12,19,77,2382,50971,7674700,136000,7600,900
0838,2015/09/22,04,06,11,12,15,22,17,69,1782,48613,7871500,139300,9300,800
0837,2015/09/15,04,05,09,24,25,31,15,64,1860,48999,9613900,161800,9600,900
0836,2015/09/08,05,15,20,28,29,10,10,70,1525,41612,14135300,145000,11500,1100
0835,2015/09/01,01,09,11,23,29,17,21,130,2123,51103,6986500,81000,8600,900
0834,2015/08/25,05,13,21,25,26,02,10,88,1801,46865,14121600,115200,9700,900
0833,2015/08/18,06,09,15,24,28,12,26,117,2029,46491,5422800,86500,8600,900
0832,2015/08/11,09,10,15,19,31,24,13,49,1410,39929,10466400,199400,12000,1100
0831,2015/08/04,07,09,17,19,21,03,10,66,1487,42277,13815300,150300,11500,1000
0830,2015/07/28,05,06,20,23,29,15,11,62,1457,43875,12729500,162200,11900,1000
0829,2015/07/21,08,12,19,23,31,06,17,119,2086,50215,8141300,83500,8200,800
0828,2015/07/14,02,08,11,15,26,03,31,106,2373,52949,4599800,96600,7400,800
0827,2015/07/07,03,04,06,23,31,10,6,52,1352,44687,24525200,203200,13500,1000
0826,2015/06/30,01,08,21,23,27,22,10,65,1512,45240,14783000,163300,12100,1000
0825,2015/06/23,03,08,12,21,26,19,27,117,2423,54706,5394200,89400,7400,800
0824,2015/06/16,04,16,22,28,29,10,37,293,2260,50051,3968900,36000,8000,900
0823,2015/06/09,06,10,14,18,23,09,15,91,1983,49037,9341400,110600,8700,900
0822,2015/06/02,07,08,10,17,28,04,12,79,1761,48756,11927000,130100,10100,900
0821,2015/05/26,06,08,18,21,23,30,6,74,1701,46026,23806500,138600,10400,1000
0820,2015/05/19,08,12,20,21,31,19,13,78,1694,44616,11053700,132300,10500,1000
0819,2015/05/12,02,09,14,15,24,13,9,59,1667,45930,15897000,174200,10600,1000
0818,2015/05/05,05,09,14,16,18,03,10,65,1667,42854,13373500,147800,9900,1000
0817,2015/04/28,01,10,23,27,29,18,8,41,1232,38834,18724400,262400,15100,1200
0816,2015/04/21,01,05,07,14,18,12,28,78,2005,51281,5434600,140100,9400,900
0815,2015/04/14,20,21,26,27,28,03,6,44,1134,32538,23852200,233600,15700,1400
0814,2015/04/07,02,03,12,25,31,28,17,56,1725,47820,8501700,185400,10400,900
0813,2015/03/31,03,06,09,14,15,17,25,64,2194,53832,5977800,167700,8400,900
0812,2015/03/24,02,16,17,22,25,13,12,79,1626,45193,12052400,131500,11000,1000
0811,2015/03/17,08,09,10,13,21,18,11,61,1737,48379,13448300,174200,10600,900
0810,2015/03/10,06,12,15,16,31,17,17,43,1936,49546,8774600,249200,9500,900
0809,2015/03/03,02,08,11,13,25,01,17,73,2479,57744,9000500,150500,7600,800
0808,2015/02/24,08,09,26,27,30,03,4,68,1671,46393,38078800,160900,11300,1000
0807,2015/02/17,05,07,13,17,19,03,12,68,1869,50337,12645500,160300,10100,900
0806,2015/02/10,03,11,21,23,28,24,11,64,1815,50659,13518100,166900,10200,900
0805,2015/02/03,08,09,11,17,30,03,13,104,1781,52077,11425300,102600,10300,900
0804,2015/01/27,07,08,09,12,29,26,11,59,1848,48354,13564600,181600,10000,1000
0803,2015/01/20,02,04,18,19,27,23,11,82,1729,47249,13347200,128600,10500,1000
0802,2015/01/13,05,09,21,29,31,06,17,50,1438,42233,8526900,208200,12500,1100
0801,2015/01/06,05,07,20,22,25,17,12,76,1469,40814,10783000,122300,10900,1000
0800,2014/12/30,01,19,20,22,25,02,9,50,1273,37688,16522900,213600,14500,1200
0799,2014/12/23,01,02,17,19,26,24,7,47,1189,36729,20309600,217300,14800,1200
0798,2014/12/16,03,08,10,23,27,12,21,105,1949,52064,6884200,98900,9200,900
0797,2014/12/09,08,09,29,30,31,18,26,116,1801,43059,5509700,88700,9900,1000
0796,2014/12/02,03,10,19,21,30,07,13,99,1979,47352,11067300,104400,9000,900
0795,2014/11/25,02,06,11,14,18,01,18,55,2238,55469,7669300,180300,7600,800
0794,2014/11/18,03,04,08,10,31,07,12,78,1750,45020,11801400,130400,10000,1000
0793,2014/11/11,06,10,18,20,31,24,12,57,1748,43820,11972500,181000,10200,1000
0792,2014/11/04,12,13,15,18,22,28,10,61,1302,40600,14266200,168000,13600,1100
0791,2014/10/28,06,16,18,30,31,10,11,62,1570,42455,13336500,169900,11600,1100
0790,2014/10/21,11,13,15,19,21,07,15,68,1550,43942,9668900,153200,11600,1000
0789,2014/10/14,04,05,11,16,31,19,14,59,1729,48034,9935500,169300,10000,900
0788,2014/10/07,01,21,28,29,30,15,6,41,1176,36782,23928600,251500,15200,1200
0787,2014/09/30,11,15,22,26,31,07,15,97,1984,47905,9852300,109400,9200,1000
0786,2014/09/23,05,06,21,28,29,07,7,52,1548,41777,19913000,192500,11200,1000
0785,2014/09/16,07,21,22,26,28,05,7,40,1349,40367,20668900,259800,13300,1100
0784,2014/09/09,14,19,21,25,29,08,12,67,1276,38622,12443400,160100,14500,1200
0783,2014/09/02,04,05,10,15,20,08,21,103,2751,52684,7191000,105300,6800,900
0782,2014/08/26,04,07,09,14,21,26,17,76,1905,51510,8676200,139400,9600,900
0781,2014/08/19,02,07,10,21,24,04,6,66,1719,48235,24036000,156900,10400,900
0780,2014/08/12,13,15,16,18,20,07,14,33,1234,34120,9858100,300400,13900,1300
0779,2014/08/05,01,08,09,10,13,18,12,52,1413,39756,11722600,194300,12300,1100
0778,2014/07/29,10,13,14,26,30,18,16,66,1667,43226,8908500,155100,10600,1000
0777,2014/07/22,04,10,20,22,24,21,6,40,1502,42882,23668600,255000,11700,1000
0776,2014/07/15,06,14,15,18,31,25,8,78,1669,44140,18099200,133300,10800,1000
0775,2014/07/08,05,06,14,24,31,15,6,70,1645,44627,24154100,148700,10900,1000
0774,2014/07/01,05,06,09,20,30,31,20,61,1606,43287,7472500,176000,11500,1100
0773,2014/06/24,01,02,06,11,26,17,19,70,1775,47810,7837700,152800,10400,1000
0772,2014/06/17,11,14,15,21,27,24,11,36,1745,48590,13502100,296300,10500,900
0771,2014/06/10,07,11,22,26,30,27,16,69,2086,51054,9120400,151900,8700,900
0770,2014/06/03,12,18,19,22,30,20,11,41,1460,43606,13282800,256000,12400,1000
0769,2014/05/27,03,11,15,22,24,29,17,86,2257,55666,8647700,122800,8100,800
0768,2014/05/20,02,03,23,24,27,10,8,77,1763,48954,18487300,137900,10400,900
0767,2014/05/13,06,08,10,25,31,27,13,43,1641,44892,11404800,247700,11200,1000
0766,2014/05/06,05,08,12,16,28,13,38,91,2589,55108,3746800,112400,6800,800
0765,2014/04/29,16,19,20,22,31,26,2,40,1265,35852,40000000,1884700,14200,1300
0764,2014/04/22,01,02,07,10,11,16,29,57,2247,54305,5291900,193400,8500,900
0763,2014/04/15,03,05,12,14,18,08,13,78,2138,58521,11960600,143200,9000,800
0762,2014/04/08,02,03,08,10,29,31,8,50,1798,50543,18725100,215200,10300,900
0761,2014/04/01,07,14,16,21,31,17,5,52,1576,42112,29959800,206900,11800,1100
0760,2014/03/25,01,07,14,25,30,08,12,63,1825,47112,12695900,173700,10300,1000
0759,2014/03/18,08,18,23,24,30,04,11,72,1966,52056,13499100,148100,9400,900
0758,2014/03/11,08,14,19,22,24,26,15,66,1789,49168,10203600,166600,10600,1000
0757,2014/03/04,12,15,21,25,27,22,5,47,1501,45828,30971700,236700,12800,1100
0756,2014/02/25,05,08,09,27,30,11,16,83,1651,47052,9569900,132500,11500,1000
0755,2014/02/18,20,21,22,25,27,14,10,42,1193,35470,14884600,254600,15500,1300
0754,2014/02/11,11,12,24,25,30,31,27,79,2444,56561,5310600,130300,7300,800
0753,2014/02/04,02,10,20,23,24,26,13,40,1797,49720,12044100,281200,10800,1000
0752,2014/01/28,11,23,26,27,31,24,6,53,1475,45461,26586900,216200,13400,1100
0751,2014/01/21,07,15,18,19,30,08,12,70,1796,49556,13002500,160100,10800,1000
0750,2014/01/14,02,05,09,13,19,24,12,124,2121,56418,12865200,89400,9000,800
0749,2014/01/07,01,11,14,16,30,25,11,56,1681,50969,15579700,219800,12600,1000
0748,2013/12/24,02,06,07,11,15,04,14,80,1918,55707,11095000,139400,10000,900
0747,2013/12/17,01,12,23,29,30,09,18,104,1738,47495,8812600,109500,11300,1000
0746,2013/12/10,02,10,15,18,20,13,11,72,1610,44679,13753300,150900,11600,1100
0745,2013/12/03,03,10,13,14,22,15,8,49,1756,49490,18869400,221300,10700,900
0744,2013/11/26,02,04,05,14,24,19,16,106,1979,53906,9360200,101500,9400,900
0743,2013/11/19,04,15,18,20,30,05,10,44,1478,46602,14807500,241700,12400,1000
0742,2013/11/12,03,05,16,26,31,01,13,61,2038,52050,11416800,174700,9000,900
0741,2013/11/05,06,11,12,15,25,10,18,87,2027,55001,8412100,125000,9300,800
0740,2013/10/29,02,04,19,25,28,11,13,91,1709,48469,11631300,119300,11000,1000
0739,2013/10/22,01,04,19,24,31,18,9,63,1457,41464,16772600,172100,12800,1100
0738,2013/10/15,07,11,14,23,29,19,24,84,2511,57064,6100500,125200,7200,800
0737,2013/10/08,05,12,18,19,23,16,32,81,2473,55083,4707900,133600,7500,800
0736,2013/10/01,02,14,17,20,27,09,4,86,1537,45066,38074300,127200,12300,1100
0735,2013/09/24,03,14,16,23,30,07,16,123,1815,50968,9284800,86700,10100,900
0734,2013/09/17,06,08,10,12,13,31,11,70,1946,53947,13574800,153200,9500,900
0733,2013/09/10,05,09,11,18,20,31,17,84,2271,56982,9075900,131900,8400,800
0732,2013/09/03,04,06,16,29,31,09,20,91,2239,51498,7665700,121000,8500,900
0731,2013/08/27,07,09,18,28,30,11,18,99,1725,48660,8640700,112800,11200,1000
0730,2013/08/20,03,05,07,14,22,04,17,57,3085,64464,8892800,190500,6100,700
0729,2013/08/13,13,16,17,20,29,11,5,44,1260,36899,27809300,227000,13700,1200
0728,2013/08/06,01,09,11,13,28,16,8,48,1572,43783,18646900,223200,11800,1100
0727,2013/07/30,04,07,14,16,24,27,16,120,2056,51710,9394100,89900,9100,900
0726,2013/07/23,01,02,16,18,25,07,14,71,1534,44542,10808400,153100,12200,1100
0725,2013/07/16,06,11,26,28,30,19,10,61,1760,50342,15296800,180100,10800,900
0724,2013/07/09,07,14,17,22,29,01,28,86,2681,53048,5628900,131600,7300,900
0723,2013/07/02,04,07,09,25,31,18,25,108,1911,53391,6562000,109100,10600,1000
0722,2013/06/25,04,06,17,21,30,09,15,87,1927,51968,10738700,133000,10400,1000
0721,2013/06/18,03,05,12,15,22,02,21,89,2667,62985,7664800,129900,7500,800
0720,2013/06/11,05,11,17,19,20,15,11,49,1949,53977,14286700,230400,10000,900
0719,2013/06/04,02,09,18,22,27,16,20,91,2453,54106,7963700,125700,8000,900
0718,2013/05/28,02,11,16,19,24,23,31,98,2523,54451,5124200,116400,7800,900
0717,2013/05/21,03,05,14,23,26,01,18,88,2306,57657,8867600,130300,8600,900
0716,2013/05/14,13,18,19,20,24,17,5,45,1494,43625,31787500,253700,13200,1100
0715,2013/05/07,02,03,05,09,22,18,16,70,1928,55420,9981300,163900,10300,900
0714,2013/04/30,06,10,20,22,31,01,3,45,1500,45607,40000000,1172400,13300,1100
0713,2013/04/23,04,13,22,28,31,16,38,152,2553,50842,4279200,76800,7900,1000
0712,2013/04/16,03,07,18,27,31,01,22,60,2199,56618,7535600,198500,9300,900
0711,2013/04/09,03,05,10,17,25,22,17,107,2587,62487,9463000,108000,7700,800
0710,2013/04/02,02,15,18,25,26,20,10,49,1806,50350,16255400,238300,11200,1000
0709,2013/03/26,02,05,16,17,18,30,15,84,1719,50069,11567000,148300,12500,1100
0708,2013/03/19,10,11,20,28,29,01,13,76,2008,53165,13184700,162000,10600,1000
0707,2013/03/12,02,11,23,27,29,03,17,103,2152,59126,10440900,123800,10200,900
0706,2013/03/05,04,06,15,16,29,27,7,150,2129,59936,26020600,87200,10600,900
0705,2013/02/26,08,16,18,21,22,27,28,81,1940,53122,6578000,163300,11800,1100
0704,2013/02/19,02,11,21,24,25,23,24,77,2876,64898,7514700,168200,7800,900
0703,2013/02/12,03,10,16,28,31,15,21,121,2103,55003,8547300,106500,10600,1000
0702,2013/02/05,10,12,13,20,23,04,14,96,2149,56105,13454600,140900,10900,1000
0701,2013/01/29,04,08,13,15,26,03,17,94,3212,64382,11055700,143600,7200,900
0700,2013/01/22,06,08,09,21,26,04,11,77,1635,51628,16529300,169600,13800,1100
0699,2013/01/15,06,12,21,24,28,15,35,153,3087,63726,5064900,83200,7100,900
0698,2013/01/08,02,03,05,14,24,09,11,62,2026,59777,17764200,226400,12000,1000
0697,2012/12/25,05,07,17,25,27,18,29,115,2756,65702,6379000,115500,8300,900
0696,2012/12/18,05,09,15,19,30,06,15,78,2111,59022,12030000,166200,10600,900
0695,2012/12/11,04,19,20,27,28,14,12,94,1996,54099,14582400,133700,10900,1000
0694,2012/12/04,05,12,15,16,20,06,12,70,1723,52635,14544900,179100,12600,1000
0693,2012/11/27,05,17,21,24,25,03,14,77,2471,58782,12487900,163100,8800,900
0692,2012/11/20,09,13,14,23,31,20,10,51,1747,51069,17468100,246000,12400,1100
0691,2012/11/13,03,09,10,20,25,31,11,55,1935,55931,15772600,226600,11100,1000
0690,2012/11/06,11,16,22,23,25,09,5,109,2066,60194,34779000,114600,10400,900
0689,2012/10/30,12,13,19,23,25,28,19,86,2355,60856,9367900,148600,9400,900
0688,2012/10/23,04,05,09,15,26,11,14,92,1900,53533,12261900,134000,11200,1000
0687,2012/10/16,02,09,17,24,29,22,46,142,3476,66128,3829400,89100,6300,800
0686,2012/10/09,03,05,07,10,18,06,17,74,2524,61129,9976000,164600,8300,900
0685,2012/10/02,08,11,19,21,30,01,22,72,2481,61533,7978700,175100,8800,900
0684,2012/09/25,10,12,13,19,25,07,17,99,1942,55951,10408200,128400,11300,1000
0683,2012/09/18,01,07,15,23,26,11,27,96,2137,53811,6374400,128700,10000,1000
0682,2012/09/11,04,08,20,25,27,30,16,54,2270,58221,11211800,238600,9800,1000
0681,2012/09/04,06,12,17,19,30,09,10,102,2406,62406,17833400,125600,9200,900
0680,2012/08/28,02,03,11,15,24,23,7,106,2286,60215,25439000,120600,9600,900
0679,2012/08/21,05,11,23,29,31,28,14,73,2764,63049,12601000,173600,7900,900
0678,2012/08/14,15,17,21,24,25,20,7,35,1332,44022,22803200,327600,14900,1100
0677,2012/08/07,10,16,23,24,30,18,10,59,2316,56747,16776800,204200,9000,900
0676,2012/07/31,04,06,18,22,28,01,17,54,2341,58572,10062100,227500,9000,900
0675,2012/07/24,06,21,27,28,31,20,15,49,1783,52691,11452700,251800,11900,1000
0674,2012/07/17,01,02,03,24,25,15,20,70,1427,44176,8678000,178100,15100,1200
0673,2012/07/10,06,12,21,24,25,22,19,58,2523,61720,9632600,226600,9000,900
0672,2012/07/03,03,08,20,22,28,05,23,71,2476,60814,7997000,186100,9200,900
0671,2012/06/26,07,14,19,22,27,28,49,130,3207,66499,3869200,104700,7300,900
0670,2012/06/19,04,06,26,27,29,30,16,67,1865,54476,11130100,190900,11800,1000
0669,2012/06/12,04,07,08,25,31,14,14,72,1836,52304,12523000,174900,11800,1000
0668,2012/06/05,07,09,16,27,29,30,24,101,2772,66072,7567100,129100,8100,800
0667,2012/05/29,08,09,19,26,31,28,11,53,1897,55039,16344600,243700,11800,1000
0666,2012/05/22,10,11,17,24,29,26,24,68,2611,62031,7537400,191100,8600,900
0665,2012/05/15,07,12,17,20,28,09,16,90,2422,61581,11303900,144300,9200,900
0664,2012/05/08,06,09,11,16,29,04,27,114,2558,64945,6930300,117900,9100,900
0663,2012/05/01,01,09,10,21,31,23,16,53,2128,51699,11709600,253900,10900,1100
0662,2012/04/24,07,09,15,28,31,26,17,82,2824,64257,11301400,168300,8400,900
0661,2012/04/17,02,06,09,19,20,27,12,87,2077,56423,15964800,158100,11400,1100
0660,2012/04/10,07,12,15,30,31,18,15,83,2110,58936,12406500,161000,10900,1000
0659,2012/04/03,05,09,22,30,31,03,10,66,1692,51095,17841700,194200,13100,1100
0658,2012/03/27,07,08,11,15,26,01,22,75,2697,66947,8351300,175900,8400,800
0657,2012/03/20,09,14,18,23,30,10,19,73,2331,58535,9266300,173200,9400,900
0656,2012/03/13,04,10,15,22,23,07,11,122,2625,65300,17013700,110200,8800,900
0655,2012/03/06,07,09,12,14,18,24,11,112,2401,65368,17484300,123300,9900,900
0654,2012/02/28,06,11,22,25,27,02,20,92,2751,70791,9667600,150900,8700,800
0653,2012/02/21,11,16,20,22,30,21,18,62,2786,67237,10879000,226900,8700,900
0652,2012/02/14,02,05,19,28,29,23,9,77,1960,57241,21263100,178500,12100,1000
0651,2012/02/07,08,11,15,20,31,18,17,80,2392,62963,11631300,177500,10200,1000
0650,2012/01/31,04,11,18,24,26,13,40,125,3098,71026,5056600,116200,8100,900
0649,2012/01/24,03,11,18,19,21,12,25,95,2561,67198,7920700,149700,9600,900
0648,2012/01/17,06,13,18,19,21,26,12,161,2524,64052,16736600,89600,9900,1000
0647,2012/01/10,03,06,07,10,21,18,22,83,2382,67126,10018700,190700,11500,1000
0646,2011/12/27,03,06,16,30,31,17,15,99,2379,66649,13557200,147500,10600,900
0645,2011/12/20,08,13,18,19,24,11,19,79,2626,66181,10576700,182700,9500,900
0644,2011/12/13,05,13,15,20,27,30,19,119,2705,66111,10381800,119000,9000,900
0643,2011/12/06,09,11,17,19,22,06,16,117,2208,60506,12024300,118100,10800,1000
0642,2011/11/29,09,22,26,27,31,28,4,52,2218,48802,40000000,885600,10700,1200
0641,2011/11/22,05,11,14,17,22,15,19,56,3207,73497,9966100,242900,7300,800
0640,2011/11/15,06,15,18,28,31,08,7,77,2002,56971,27720100,181000,12000,1100
0639,2011/11/08,06,14,20,29,31,22,38,126,3687,68729,5158400,111700,6600,900
0638,2011/11/01,01,16,18,27,30,15,12,65,1881,52657,16493100,218700,13100,1200
0637,2011/10/25,01,05,10,15,21,11,17,130,2558,59708,11419600,107200,9400,1000
0636,2011/10/18,08,13,21,26,30,03,39,135,2700,63106,5013300,104000,9000,1000
0635,2011/10/11,12,13,16,20,29,11,7,60,2105,57657,26764300,224300,11000,1000
0634,2011/10/04,06,14,24,27,31,22,17,65,2308,59905,11374200,213700,10400,1000
0633,2011/09/27,02,12,19,20,30,13,21,97,2646,65720,9253400,143900,9100,900
0632,2011/09/20,06,14,15,25,26,13,23,100,3011,65445,8097000,133700,7700,900
0631,2011/09/13,03,15,18,20,25,29,10,75,2082,60059,19507900,186800,11600,1000
0630,2011/09/06,03,04,16,19,31,14,12,64,2022,58714,16286800,219300,12000,1000
