回,日付,数字1,数字2,数字3,数字4,数字5,数字6,数字7,ボーナス数字1,ボーナス数字2,一等の当選数,二等の当選数,三等の当選数,四等の当選数,五等の当選数,六等の当選数,一等当選金額,二等当選金額,三等当選金額,四等当選金額,五等当選金額,六等当選金額,キャリーオーバー金額
0193,2016/12/30,04,06,20,21,22,24,31,09,10,0,9,113,6037,100444,193019,0,12021800,1340400,14700,2100,1000,844728055
0192,2016/12/23,12,13,14,19,25,33,34,03,22,0,12,118,5960,92178,163402,0,7783800,1108100,12800,2000,1000,522955095
0191,2016/12/16,08,15,21,24,26,27,29,07,30,0,4,94,4653,76562,137587,0,20202500,1203500,14200,2100,1000,243867070
0190,2016/12/09,02,11,12,18,21,33,36,08,34,1,12,105,5065,83879,144610,240259100,6759300,1081400,13100,1900,1000,0
0189,2016/12/02,03,07,08,10,18,23,35,01,19,2,8,126,6418,98944,157885,123108600,10370900,921800,10600,1700,900,0
0188,2016/11/25,06,15,19,25,26,30,31,14,18,1,4,112,5621,93300,158624,478206800,24214600,1210700,14100,2100,1100,0
0187,2016/11/18,04,06,10,23,24,32,36,15,31,2,13,206,8657,135560,231695,800000000,9624600,850300,11800,1800,900,198771140
0186,2016/11/11,05,14,16,19,31,33,37,21,28,0,9,109,6212,101630,189498,0,12858400,1486300,15300,2300,1100,1411599250
0185,2016/11/04,01,02,04,16,26,29,34,11,12,0,6,100,5587,96090,194575,0,18419400,1547200,16200,2300,1000,1077699135
0184,2016/10/28,07,14,18,22,23,26,34,02,32,1,28,256,9419,127958,204874,800000000,4463800,683500,10800,1900,1100,751867760
0183,2016/10/21,06,15,20,26,33,34,37,19,29,0,5,113,5827,98227,175010,0,23089700,1430300,16200,2300,1200,1181212000
0182,2016/10/14,01,07,10,11,20,23,30,03,37,0,28,203,9719,117841,189068,0,3682100,711000,8700,1700,900,842496950
0181,2016/10/07,07,08,10,13,19,23,24,15,27,0,7,130,6491,102655,189360,0,13205000,995400,11600,1800,800,521445450
0180,2016/09/30,01,08,11,21,23,25,28,05,37,0,14,109,5735,89930,153913,0,5721300,1028700,11400,1800,900,237187815
0179,2016/09/23,04,09,12,13,22,26,36,05,33,1,8,150,6573,100985,168946,581403600,11980000,894400,11900,1900,1000,0
0178,2016/09/16,06,09,11,15,26,34,36,13,37,0,8,93,5206,84160,137192,0,11013900,1326300,13900,2100,1100,298979855
0177,2016/09/09,09,15,19,23,25,34,36,02,35,1,9,142,6691,108184,184822,800000000,11551700,1025000,12700,1900,1000,35718160
0176,2016/09/02,01,11,12,17,22,30,35,15,16,0,5,89,5367,87754,148588,0,18978800,1492600,14500,2100,1100,528455810
0175,2016/08/26,06,17,21,31,33,35,37,14,18,0,3,93,4005,70659,124654,0,26441700,1194100,16200,2200,1100,239677540
0174,2016/08/19,10,13,14,15,23,31,32,04,29,3,7,109,5268,86852,160305,170269900,13318400,1197400,14500,2100,1000,0
0173,2016/08/12,07,09,19,22,24,27,30,04,28,0,9,96,4599,76223,151261,0,8179800,1073500,13100,1900,800,228099815
0172,2016/08/05,05,20,21,27,30,31,36,09,26,1,10,143,5836,82221,134057,229139600,7737500,757500,10800,1900,1000,0
0171,2016/07/29,01,02,06,21,23,27,28,11,16,1,6,112,5675,94440,169580,308533500,14778000,1108300,12800,1900,900,0
0170,2016/07/22,03,05,06,09,27,32,36,12,24,1,9,126,7099,111780,198470,800000000,11318500,1131800,11700,1800,900,45774325
0169,2016/07/15,01,05,10,20,21,28,30,25,26,0,9,145,7713,101092,143001,0,10458600,908800,10000,1800,1100,541842255
0168,2016/07/08,03,09,12,14,19,20,36,02,05,0,8,96,4707,79672,142639,0,10278400,1199100,14300,2000,1000,249683290
0167,2016/07/01,01,03,05,07,10,26,36,19,37,2,16,175,8295,126796,199765,596966700,7293200,933500,11500,1800,1000,0
0166,2016/06/24,14,20,27,29,30,31,37,23,34,0,9,103,5210,90495,159868,0,11749100,1437200,16600,2300,1200,838919740
0165,2016/06/17,09,11,14,15,16,18,27,06,20,0,3,96,5542,100873,163858,0,32554300,1424200,14400,1900,1000,529403390
0164,2016/06/10,03,13,20,23,31,35,36,02,11,0,4,92,4328,67249,127590,0,19067900,1160600,14400,2300,1000,229558135
0163,2016/06/03,01,02,06,16,28,30,31,03,07,1,7,118,5118,79064,150062,237793900,11300600,938500,12600,2000,900,0
0162,2016/05/27,02,07,08,12,14,23,27,06,10,1,15,156,8086,112419,178019,500555900,6029500,811600,9100,1600,900,0
0161,2016/05/20,08,14,17,18,20,22,34,04,30,0,6,69,4314,70156,128448,0,13320500,1621600,15200,2300,1100,233401615
0160,2016/05/13,01,02,08,24,32,36,37,23,33,2,5,94,6795,87158,151192,255795700,18657900,1389400,11200,2100,1100,0
0159,2016/05/06,10,14,17,21,23,27,31,16,24,0,5,127,5520,83349,127314,0,15896900,876100,11800,1900,1100,234794530
0158,2016/04/29,03,06,07,30,32,36,37,05,20,1,7,109,4614,84564,141718,535280700,13303800,1196100,16500,2200,1100,0
0157,2016/04/22,05,09,16,26,28,29,32,01,37,0,6,112,4754,80218,129228,0,13780700,1033500,14200,2000,1100,252322715
0156,2016/04/15,04,09,16,19,22,33,34,17,36,1,5,138,5663,82668,131839,259663500,16995300,862000,12300,2000,1100,0
0155,2016/04/08,02,09,13,18,22,24,26,10,37,1,11,161,6403,88855,138643,251995000,7583900,725400,10700,1900,1000,0
0154,2016/04/01,02,04,19,21,24,28,35,03,13,1,15,127,5988,92287,163911,257297800,5671400,937700,11600,1800,900,0
0153,2016/03/25,07,09,10,16,20,28,37,02,33,1,12,115,5753,91889,158231,362456100,7885800,1152000,13500,2000,1000,0
0152,2016/03/18,08,12,17,21,23,24,31,06,07,1,17,130,7742,116837,197700,800000000,6175600,1130500,11100,1800,900,69792960
0151,2016/03/11,09,10,13,15,21,22,24,04,08,0,9,97,5598,95911,194859,0,11155700,1449000,14700,2100,900,553668980
0150,2016/03/04,06,07,14,20,27,31,34,11,24,1,12,171,6898,105383,181216,800000000,9273400,911000,13200,2100,1100,256955660
0149,2016/02/26,01,04,15,19,22,23,31,12,32,1,8,160,7774,121130,192840,800000000,14895800,1042600,12500,1900,1100,730966110
0148,2016/02/19,01,09,11,16,20,30,34,12,33,0,15,117,6038,103270,179666,0,7948400,1426600,16200,2300,1200,1173362780
0147,2016/02/12,01,05,07,12,15,24,25,08,14,2,18,198,10536,150535,235286,800000000,6995700,890300,9800,1600,900,826803760
0146,2016/02/05,04,10,25,27,28,33,34,15,35,1,11,160,8350,136343,239815,800000000,12190200,1173200,13100,1900,1000,2034765345
0145,2016/01/29,10,12,18,28,29,30,35,04,19,0,18,194,9476,139105,234198,0,6993600,908400,10900,1800,900,2433616350
0144,2016/01/22,02,09,13,18,22,32,36,17,26,1,21,249,10143,147247,245690,800000000,6503100,767800,11000,1800,1000,2050454225
0143,2016/01/15,01,03,08,14,28,29,33,04,31,0,18,218,10077,147524,235436,0,7204200,832700,10500,1700,1000,2444749620
0142,2016/01/08,06,12,14,18,21,27,28,01,33,0,20,180,9004,142612,245135,0,6745000,1049200,12300,1900,1000,2060628715
0141,2015/12/25,02,10,18,30,31,32,36,21,29,1,6,161,7645,122514,210961,800000000,22037800,1149700,14200,2100,1100,1672001745
0140,2015/12/18,03,11,12,13,17,26,35,01,33,0,5,141,8119,130651,217378,0,24262700,1204500,12200,1800,1000,2074538935
0139,2015/12/11,09,16,18,21,23,34,35,04,36,0,10,143,7128,111609,201359,0,11434100,1119400,13100,2000,1000,1712940710
0138,2015/12/04,02,05,17,20,21,32,33,30,35,1,9,154,6562,105002,177272,800000000,13318500,1089600,15000,2300,1200,1370182325
0137,2015/11/27,13,19,21,25,27,32,35,16,20,1,25,192,8883,128611,209643,800000000,5282900,963000,12200,2000,1100,1820523185
0136,2015/11/20,10,17,24,27,30,33,37,18,31,0,12,138,7501,120568,211203,0,10716600,1304600,14000,2100,1100,2222533760
0135,2015/11/13,08,09,13,14,24,32,34,03,04,0,7,169,7454,121932,223604,0,17695100,1026000,13600,2000,1000,1845014875
0134,2015/11/06,04,09,20,28,30,34,35,12,29,0,12,126,6497,114011,209075,0,9879700,1317200,14900,2100,1000,1481435860
0133,2015/10/30,03,07,13,15,17,21,30,14,27,0,9,170,7575,119190,207611,0,12735100,943800,12400,1900,1000,1134284665
0132,2015/10/23,07,10,14,16,20,30,31,35,37,0,7,113,5432,89305,155506,0,14771100,1281000,15600,2300,1200,799493370
0131,2015/10/16,03,04,12,17,32,34,36,23,31,0,7,98,4936,82400,148373,0,12634400,1263400,14700,2100,1000,497901650
0130,2015/10/09,01,15,20,23,25,31,32,05,24,0,4,68,3633,62774,119695,0,18949300,1560500,17100,2400,1100,226123355
0129,2015/10/02,05,07,11,19,24,27,30,29,35,1,10,141,6246,91513,140404,229587800,7828100,777200,10200,1700,1000,0
0128,2015/09/25,02,04,08,23,26,27,32,03,35,1,7,104,5578,84609,148326,233557500,11052200,1041400,11300,1800,900,0
0127,2015/09/18,10,12,15,23,28,30,35,06,25,2,16,144,6662,97309,149636,125520200,5042700,784400,9900,1600,900,0
0126,2015/09/11,04,10,13,16,17,21,27,01,18,2,3,119,5526,89632,149649,265266200,31531800,1112800,14000,2100,1100,0
0125,2015/09/04,01,06,11,14,19,28,35,18,21,0,4,146,6273,93226,138088,0,21167200,811800,11000,1800,1100,248655270
0124,2015/08/28,01,02,15,17,18,22,36,06,27,1,6,94,5424,91676,178588,785704400,17461400,1560300,15800,2300,1000,0
0123,2015/08/21,01,03,05,08,29,34,36,23,28,1,11,117,6184,112178,226852,800000000,10030800,1320200,14600,1900,800,472187410
0122,2015/08/14,02,16,18,26,27,34,35,05,12,0,9,130,6455,91608,171725,0,11120500,1077800,12700,2200,1000,926503785
0121,2015/08/07,02,04,13,16,21,30,37,19,29,1,3,103,5189,87477,164610,800000000,35571400,1450400,16800,2400,1100,628349190
0120,2015/07/31,02,16,18,26,32,35,37,09,36,0,5,125,5325,90974,163486,0,21086900,1180800,16200,2300,1100,1103234440
0119,2015/07/24,03,06,08,14,15,25,36,24,35,1,90,223,11619,137464,229907,800000000,1234300,697400,7800,1600,800,784900955
0118,2015/07/17,05,08,09,24,27,28,30,16,20,0,9,213,11376,140813,198944,0,11925600,705400,7700,1500,900,1243142375
0117,2015/07/10,09,10,20,28,31,34,37,23,26,0,4,99,5050,87904,165536,0,27178600,1537300,17600,2500,1100,913053470
0116,2015/07/03,09,14,23,27,28,31,32,03,20,1,7,159,8032,121251,196929,800000000,16907200,1042000,12100,1900,1000,585423220
0115,2015/06/26,06,08,13,14,20,25,27,24,26,1,12,208,8562,132365,223347,800000000,10371300,837600,11900,1900,1000,1019016770
0114,2015/06/19,08,13,26,27,28,29,37,04,12,1,13,176,9938,149653,269436,800000000,10381400,1073500,11100,1800,900,1458876495
0113,2015/06/12,04,06,07,09,15,17,37,14,20,0,5,143,8092,131713,197180,0,24776900,1212800,12500,1900,1100,1865147520
0112,2015/06/05,06,07,10,15,27,35,36,13,20,0,11,185,7596,124932,200050,0,10423500,867600,12300,1800,1000,1500897975
0111,2015/05/29,07,08,09,24,28,30,33,01,34,1,20,462,9785,141811,216444,800000000,6520500,395100,10900,1800,1000,1156138945
0110,2015/05/22,04,12,22,30,31,35,36,19,37,0,5,97,5982,107601,193433,0,24076400,1737400,16500,2200,1100,1552785590
0109,2015/05/15,06,17,20,21,24,30,32,07,23,0,7,116,5373,90074,168077,0,16296700,1376700,17400,2500,1200,1194796700
0108,2015/05/08,02,06,07,08,28,30,36,18,21,0,15,164,7155,111653,180825,0,6899600,883400,11800,1800,1000,856434470
0107,2015/05/01,03,08,09,13,17,27,33,29,31,0,15,165,7623,112363,182521,0,6523000,830100,10500,1700,900,543591915
0106,2015/04/24,06,10,12,19,21,22,30,01,11,0,10,105,4888,78353,144248,0,8217800,1095600,13800,2100,1000,242369330
0105,2015/04/17,03,15,19,20,26,28,33,17,21,1,12,116,5412,85105,137748,248384000,6977900,1010500,12700,1900,1100,0
0104,2015/04/10,07,09,11,15,16,22,37,12,13,1,7,129,6241,98767,168004,523951100,13662100,1037800,12500,1900,1000,0
0103,2015/04/03,02,03,11,12,22,35,36,30,34,0,3,134,5989,91551,133012,0,27272900,854800,11200,1800,1100,237715660
0102,2015/03/27,01,04,08,27,28,29,31,13,25,3,14,155,7215,117503,200661,295337700,7795200,985700,12400,1800,900,0
0101,2015/03/20,11,12,21,23,28,36,37,03,16,0,9,147,5973,97792,177936,0,10648500,912700,13100,1900,900,546062785
0100,2015/03/13,01,02,11,16,25,35,36,09,14,0,6,76,4479,78016,152645,0,14043600,1552100,15400,2100,1000,248837600
0099,2015/03/06,13,17,22,24,27,28,35,11,19,1,11,131,6826,105445,176597,699064600,9328000,1096500,12300,1900,1000,0
0098,2015/02/27,03,09,11,13,19,25,33,10,30,0,18,189,7746,109792,172961,0,5366700,715500,10200,1700,1000,387567960
0097,2015/02/20,07,13,14,16,22,24,35,01,29,1,16,129,6927,111308,178510,800000000,6932900,1203800,13100,2000,1100,99001930
0096,2015/02/13,09,11,14,21,22,23,24,10,36,0,15,130,6426,103877,180889,0,6898400,1114300,13200,2000,1000,573705620
0095,2015/02/06,01,08,13,14,18,30,34,26,36,0,5,89,4775,79565,146366,0,18009000,1416400,15400,2200,1100,268239710
0094,2015/01/30,13,19,20,27,28,29,30,26,36,2,8,120,6192,104231,181697,705794000,15220500,1420500,16100,2300,1200,0
0093,2015/01/23,02,05,11,14,17,30,32,31,37,2,10,139,7146,117498,196034,800000000,12969400,1306200,14900,2200,1200,1052449145
0092,2015/01/16,04,05,15,25,26,29,32,11,27,1,9,162,7853,133466,245160,800000000,15195400,1181800,14300,2000,1000,2276371255
0091,2015/01/09,01,05,07,14,15,25,35,18,24,0,18,315,11332,162096,260376,0,8186000,654800,10600,1800,1000,2671288235
0090,2014/12/26,02,08,09,13,14,18,37,11,25,1,15,153,8377,142874,267154,800000000,10036600,1377500,14700,2100,1000,2234360775
0089,2014/12/19,01,03,11,26,28,34,36,17,20,0,12,159,8388,138336,224541,0,11582900,1223800,13600,2000,1100,2591414655
0088,2014/12/12,03,04,10,14,25,29,30,18,19,0,11,177,8800,136071,235427,0,12013600,1045200,12300,1900,1000,2182851930
0087,2014/12/05,08,09,12,18,20,28,31,13,15,0,13,138,7821,127559,223589,0,9776900,1289400,13300,2000,1000,1790275855
0086,2014/11/28,03,10,20,21,22,26,30,24,35,1,16,153,7353,120914,205807,800000000,8694200,1272800,15500,2300,1200,1416245085
0085,2014/11/21,06,07,10,11,22,26,35,14,23,1,22,242,10771,170753,306651,800000000,7538600,959400,12600,1900,900,1808128280
0084,2014/11/14,08,16,23,28,29,35,36,12,37,0,23,236,12518,180209,291170,0,6770600,923700,10200,1700,900,2095793915
0083,2014/11/07,01,11,21,26,28,32,35,18,22,0,11,118,7047,123990,218185,0,13156900,1717000,16800,2300,1200,1619633575
0082,2014/10/31,01,03,16,20,25,27,34,18,37,0,10,117,6744,116324,191383,0,13060900,1562800,15900,2200,1200,1195576075
0081,2014/10/24,01,03,10,18,28,31,35,09,21,0,10,117,6097,101530,176500,0,10885100,1302400,14600,2100,1100,805203145
0080,2014/10/17,02,05,10,18,21,24,27,25,34,0,6,161,6067,91076,142350,0,15082300,786800,12200,2000,1100,482184370
0079,2014/10/10,02,04,07,09,21,29,37,06,36,0,8,83,4630,76764,127730,0,9076100,1224700,12800,1900,1000,213723005
0078,2014/10/03,05,06,10,14,24,28,36,07,20,2,8,134,6232,93845,153240,245019800,11188900,935100,11700,1900,1000,0
0077,2014/09/26,03,10,23,25,26,28,30,15,29,0,8,99,4883,79505,134731,0,9431900,1067000,12600,1900,1000,220682015
0076,2014/09/19,04,13,18,29,32,34,36,24,33,1,5,131,4941,76086,141102,241111000,15503500,828400,12800,2000,900,0
0075,2014/09/12,04,09,15,17,19,35,37,10,20,2,9,107,5858,102544,164397,434459600,12033700,1417000,15100,2100,1100,0
0074,2014/09/05,05,13,14,15,16,24,31,09,11,0,9,115,6063,100706,168688,0,10902000,1194400,13200,1900,1000,538287400
0073,2014/08/29,12,16,23,25,27,30,32,28,33,0,9,96,4888,79551,137375,0,8881600,1165600,13400,2000,1000,239746775
0072,2014/08/22,11,12,18,19,20,31,32,09,21,5,35,120,5236,84053,145081,103896700,2815300,1149500,15400,2300,1200,0
0071,2014/08/15,01,06,13,29,34,35,37,02,15,0,2,61,3423,61037,118919,0,37959300,1742300,18200,2500,1100,225783715
0070,2014/08/08,09,10,18,21,27,33,35,04,11,3,15,163,7266,102768,178645,222116800,6723700,866200,11400,1900,1000,0
0069,2014/08/01,13,17,20,22,28,29,37,11,12,1,9,118,5961,99657,179019,800000000,13107500,1399600,16200,2400,1100,363873750
0068,2014/07/25,02,07,13,15,24,34,35,12,23,1,25,210,10354,152027,281508,800000000,5519400,919800,10900,1800,800,808528740
0067,2014/07/18,07,11,15,17,18,25,35,06,33,0,13,166,7610,121393,220199,0,9336100,1023500,13000,2000,1000,1181533320
0066,2014/07/11,01,11,25,28,31,33,37,03,20,0,3,104,5619,99107,172089,0,35602400,1437700,15600,2100,1100,829816620
0065,2014/07/04,04,07,12,22,23,24,28,25,34,0,13,184,8698,127318,189206,0,7294900,721500,8900,1500,900,510891905
0064,2014/06/27,04,15,16,17,20,29,36,19,26,0,2,71,4186,72498,110154,0,38773400,1529000,15200,2100,1200,235685240
0063,2014/06/20,04,08,19,24,28,30,32,12,37,1,15,180,7737,107083,167728,524339700,6457200,753300,10200,1800,1000,0
0062,2014/06/13,04,10,12,15,27,32,33,09,16,0,6,115,5329,82357,137777,0,12590700,919600,11600,1800,900,234614670
0061,2014/06/06,05,10,11,21,28,31,37,13,14,1,5,110,4819,73709,124174,231978000,15005200,954800,12700,2000,1000,0
0060,2014/05/30,03,07,09,15,16,23,34,05,33,1,10,203,9309,131989,207951,636917600,9951000,686200,8700,1500,800,0
0059,2014/05/23,05,08,12,13,21,30,35,27,34,0,10,134,6036,90778,152530,0,8769400,916100,11900,1900,1000,333161630
0058,2014/05/16,01,06,07,08,23,32,33,11,34,1,5,176,7390,115904,204160,800000000,22002600,875000,12200,1900,900,69864060
0057,2014/05/09,05,06,12,16,17,20,33,08,32,0,14,130,5981,99333,167658,0,6948300,1047500,13300,1900,1000,535837750
0056,2014/05/02,04,23,26,27,28,32,36,29,30,0,5,69,4476,77069,125240,0,16071900,1630400,14700,2100,1100,239510660
0055,2014/04/25,04,12,14,17,23,30,36,13,33,1,5,132,6629,102151,161412,536627600,20250200,1073800,12500,2000,1100,0
0054,2014/04/18,01,03,05,10,18,22,23,07,35,0,12,156,6012,89428,160144,0,6757100,727600,11000,1800,900,239162760
0053,2014/04/11,01,04,14,16,20,33,36,12,30,2,11,105,5567,94976,166040,424722700,10154700,1489300,16400,2300,1200,0
0052,2014/04/04,08,10,22,24,26,32,34,05,09,0,7,78,4588,80076,157564,0,13429000,1687200,16800,2300,1000,517585780
0051,2014/03/28,01,04,05,08,20,23,35,15,33,0,7,85,5048,79109,140349,0,11055400,1274600,12500,1900,1000,228789300
0050,2014/03/21,03,04,07,08,15,24,29,11,16,2,13,193,8096,108710,167151,112997700,5740400,541300,7500,1300,800,0
0049,2014/03/14,08,11,12,17,24,26,27,14,21,1,9,142,5956,91203,129398,237579900,8854400,785600,10900,1700,1100,0
0048,2014/03/07,03,05,24,26,29,30,34,08,35,1,6,96,4568,78659,150052,240970300,13821600,1209300,14900,2100,1000,0
0047,2014/02/28,02,09,11,14,20,21,36,06,15,2,10,127,6304,100950,179186,411638000,11192600,1233800,14500,2200,1100,0
0046,2014/02/21,02,05,06,15,23,27,30,04,35,1,21,279,11944,166273,269340,800000000,6075000,640100,8700,1500,800,491347345
0045,2014/02/14,01,02,09,18,21,27,33,25,31,0,9,163,7190,109093,182578,0,12406400,959000,12700,2000,1100,899790300
0044,2014/02/07,03,04,06,15,27,28,29,01,14,0,26,285,10327,128463,201888,0,4030700,514700,8300,1600,900,569611595
0043,2014/01/31,04,06,07,08,24,31,37,05,13,0,7,131,6190,99278,174501,0,12336300,922800,11400,1700,900,253658750
0042,2014/01/24,02,15,16,17,23,31,33,08,26,1,9,152,6789,106318,198943,564832800,11822000,979900,12800,2000,900,0
0041,2014/01/17,02,03,08,15,34,35,36,25,28,0,18,114,5690,85743,163995,0,4576600,1011600,11800,1900,900,242481625
0040,2014/01/10,02,06,11,23,26,31,34,07,20,1,8,136,6276,97091,160108,281251400,11663700,960500,12200,1900,1000,0
0039,2013/12/27,07,13,19,23,25,26,30,01,18,1,9,104,5865,94790,166850,279333700,10369500,1256200,13000,1900,1000,0
0038,2013/12/20,04,14,19,22,24,29,34,08,31,1,19,670,6320,89901,163891,323677300,5241700,208100,12900,2200,1100,0
0037,2013/12/13,07,08,10,13,14,19,37,29,33,1,8,125,6741,113597,193752,800000000,13943800,1249300,13500,1900,1000,33565555
0036,2013/12/06,05,06,10,11,20,28,36,25,37,1,10,200,9252,142419,223589,800000000,12705800,889300,11200,1800,1000,494443545
0035,2013/11/29,01,16,18,19,25,30,34,26,36,0,2,88,6079,103961,170370,0,57126000,1817600,15400,2200,1200,921548030
0034,2013/11/22,04,06,07,23,24,32,35,08,27,0,9,147,6976,108906,197576,0,11700500,1002800,12300,1900,900,588283060
0033,2013/11/15,01,04,17,24,29,33,36,19,30,0,6,127,5830,87193,142603,0,14839800,981500,12500,2000,1100,266123875
0032,2013/11/08,03,08,15,18,27,29,37,31,34,3,9,176,8081,125046,194399,225745200,12679800,907700,11500,1800,1000,0
0031,2013/11/01,09,12,13,19,23,33,34,20,32,1,10,161,8364,133958,205732,800000000,13498600,1173700,13200,2000,1100,330605330
0030,2013/10/25,06,08,13,22,26,32,36,16,34,0,10,115,6578,109416,187753,0,11720500,1426800,14600,2100,1100,719099050
0029,2013/10/18,02,03,16,17,24,26,28,15,31,0,8,118,6600,109583,183727,0,12465300,1183100,12400,1800,900,369168905
0028,2013/10/11,06,07,12,15,19,35,37,01,11,1,8,173,8429,117449,181526,800000000,14005000,906600,10900,1900,1100,62941930
0027,2013/10/04,01,10,11,14,17,18,28,25,26,0,7,130,5972,97788,176737,0,14134500,1065500,13600,2000,1000,534246145
0026,2013/09/27,11,13,16,18,26,31,36,21,27,0,3,68,4092,69621,131086,0,27534000,1700600,16500,2400,1100,242988750
0025,2013/09/20,01,06,11,16,17,18,21,10,24,2,4,102,5581,91372,173039,288220500,25836500,1418400,15200,2200,1000,0
0024,2013/09/13,04,05,08,10,16,19,33,02,29,0,6,120,5270,86619,154752,0,14535600,1017400,13500,2000,1000,257380635
0023,2013/09/06,04,08,11,25,28,29,30,14,32,1,12,166,8013,124341,193931,746478700,9581100,969600,11700,1800,1000,0
0022,2013/08/30,02,04,08,09,15,23,25,03,10,0,14,164,7789,117980,203297,0,7236900,864800,10600,1700,900,392492300
