回,日付,数字1,数字2,数字3,数字4,数字5,数字6,数字7,ボーナス数字1,ボーナス数字2,一等の当選数,二等の当選数,三等の当選数,四等の当選数,五等の当選数,六等の当選数,一等当選金額,二等当選金額,三等当選金額,四等当選金額,五等当選金額,六等当選金額,キャリーオーバー金額
0229,2017/09/08,02,03,09,30,33,36,37,01,32,0,4,70,3954,67218,113978,0,18376700,1470100,15200,2200,1100,219972905
0228,2017/09/01,06,11,14,21,24,28,31,22,36,1,14,135,5511,84921,146739,220207500,5378700,780800,11200,1800,900,0
0227,2017/08/25,02,03,07,09,22,23,26,29,30,1,6,110,5230,81676,130062,211728100,12142600,927200,11400,1800,1000,0
0226,2017/08/18,12,17,21,24,26,30,32,10,22,2,8,160,5907,93387,153889,498775500,12725800,890700,14100,2200,1200,0
0225,2017/08/11,13,15,17,18,20,21,26,25,29,0,9,72,4625,70339,129322,0,9488100,1660300,15100,2400,1200,704586110
0224,2017/08/04,02,04,07,10,12,29,34,01,21,0,12,115,5595,86363,143418,0,6787900,991600,11900,1900,1000,455617240
0223,2017/07/28,10,13,19,21,26,33,34,24,25,0,8,99,4669,70043,114037,0,8981800,1016100,12600,2000,1100,216537490
0222,2017/07/21,03,09,18,21,23,27,29,35,37,2,6,127,6133,91984,144651,237488900,13828300,914600,11100,1800,1000,0
0221,2017/07/14,01,02,09,11,17,30,35,13,36,0,8,72,4630,72256,123286,0,9252000,1439100,13100,2000,1000,228713890
0220,2017/07/07,07,09,11,18,25,28,35,20,27,1,9,114,5346,84172,138540,226348000,8553300,945300,11800,1800,1000,0
0219,2017/06/30,06,09,13,14,21,25,31,02,04,1,14,137,6501,101087,172660,499890800,6420600,918500,11300,1800,900,0
0218,2017/06/23,15,16,17,21,26,29,30,10,34,0,7,82,4421,69813,125932,0,11201900,1338700,14500,2200,1100,234051170
0217,2017/06/16,04,06,26,27,28,35,36,24,34,3,20,276,9882,135795,208907,366089300,5592700,567300,9200,1600,900,0
0216,2017/06/09,09,14,22,24,25,36,37,08,28,0,5,91,5417,88057,162975,0,18713100,1439400,14100,2100,1000,752459005
0215,2017/06/02,11,12,13,21,29,36,37,07,09,0,8,113,4689,77519,163313,0,10580500,1048600,14800,2200,900,472406545
0214,2017/05/26,02,06,09,12,31,36,37,03,22,0,6,89,4596,77756,145323,0,12438700,1173900,13300,1900,900,222151090
0213,2017/05/19,05,13,15,18,19,24,35,20,23,1,5,101,4498,75550,124267,221975000,15193000,1052900,13800,2000,1100,0
0212,2017/05/12,04,06,10,19,20,24,29,01,27,1,4,111,5279,85435,147792,485279600,22301000,1125000,13800,2100,1000,0
0211,2017/05/05,07,15,22,25,31,32,35,29,36,0,1,87,4147,66654,120393,0,73468200,1182200,14500,2200,1100,213835550
0210,2017/04/28,02,04,06,11,15,19,36,23,34,3,13,94,5601,90046,158042,81938200,6308500,1221400,12000,1800,900,0
0209,2017/04/21,03,04,06,13,22,31,36,28,34,2,6,148,6497,95571,161235,126470700,13920600,790000,10500,1700,900,0
0208,2017/04/14,04,13,16,18,22,26,33,27,29,2,11,148,6161,94473,164238,265859700,8775000,913000,12800,2000,1000,0
0207,2017/04/07,04,05,10,13,28,32,33,19,26,0,6,96,4637,77499,134173,0,13070000,1143600,13800,2000,1000,237151340
0206,2017/03/31,01,06,07,11,27,35,36,22,26,2,10,127,6385,103019,174481,405262500,10099400,1113300,12900,1900,1000,0
0205,2017/03/24,04,05,19,31,35,36,37,27,32,0,5,102,4969,84038,141768,0,17824400,1223200,14700,2100,1100,502863990
0204,2017/03/17,05,19,20,21,30,34,36,07,12,0,4,100,4310,68340,129597,0,19529000,1093600,14800,2300,1000,237457480
0203,2017/03/10,06,13,17,22,32,33,36,12,28,1,9,106,5225,80052,147130,236902300,9011200,1071100,12700,2000,1000,0
0202,2017/03/03,03,07,11,16,22,34,37,29,32,1,18,145,6040,89056,133997,254364500,4726500,821400,11500,1900,1100,0
0201,2017/02/24,08,11,17,24,28,31,32,12,34,1,10,134,6540,96493,156259,263734200,8851000,924700,11100,1800,1000,0
0200,2017/02/17,13,14,17,21,27,28,34,01,11,4,12,134,6075,94341,152630,67987600,7805300,978500,12600,2000,1100,0
0199,2017/02/10,01,09,17,20,22,28,29,13,16,2,22,259,11394,147540,230618,636223100,6022200,716100,9500,1800,1000,0
0198,2017/02/03,18,21,31,32,33,36,37,05,25,0,5,92,7830,97289,185503,0,23983300,1824700,12500,2500,1100,879541410
0197,2017/01/27,06,08,10,12,16,21,28,14,23,0,10,163,7271,109584,183425,0,9519200,817500,10700,1700,900,522001970
0196,2017/01/20,07,13,15,25,30,32,37,08,14,0,11,113,4792,76951,143940,0,7321700,997800,13800,2100,1000,234599870
0195,2017/01/13,04,07,12,20,23,24,31,26,35,4,11,229,8965,131305,199956,371873100,10556800,709900,10600,1700,1000,0
0194,2017/01/06,03,06,27,30,31,32,36,14,23,0,6,130,6171,96460,189955,0,16169400,1044700,12900,2000,900,1131549130
