~ Recognized W3C color keyword names
~ https://www.w3.org/TR/SVG/types.html#ColorKeywords

key,hex,name,hue,hsl_sat,hsl_light,hsv_sat,hsv_val
aliceblue,#F0F8FF,Alice Blue,208°,100%,97%,6%,100%
antiquewhite,#FAEBD7,Antique White,34°,78%,91%,14%,98%
aqua,#00FFFF,Aqua,180°,100%,50%,100%,100%
aquamarine,#7FFFD4,Aquamarine,160°,100%,75%,50%,100%
azure,#F0FFFF,Azure,180°,100%,97%,6%,100%
beige,#F5F5DC,Beige,60°,56%,91%,10%,96%
bisque,#FFE4C4,Bisque,33°,100%,88%,23%,100%
black,#000000,Black,0°,0%,0%,0%,0%
blanchedalmond,#FFEBCD,Blanched Almond,36°,100%,90%,20%,100%
blue,#0000FF,Blue,240°,100%,50%,100%,100%
blueviolet,#8A2BE2,Blue Violet,271°,76%,53%,81%,89%
brown,#A52A2A,Brown,0°,59%,41%,75%,65%
burlywood,#DEB887,Burlywood,34°,57%,70%,39%,87%
cadetblue,#5F9EA0,Cadet Blue,182°,26%,50%,41%,63%
chartreuse,#7FFF00,Chartreuse,90°,100%,50%,100%,100%
chocolate,#D2691E,Chocolate,25°,75%,47%,86%,82%
coral,#FF7F50,Coral,16°,100%,66%,69%,100%
cornflowerblue,#6495ED,Cornflower Blue,219°,79%,66%,58%,93%
cornsilk,#FFF8DC,Cornsilk,48°,100%,93%,14%,100%
crimson,#DC143C,Crimson,348°,83%,47%,91%,86%
cyan,#00FFFF,Cyan,180°,100%,50%,100%,100%
darkblue,#00008B,Dark Blue,240°,100%,27%,100%,55%
darkcyan,#008B8B,Dark Cyan,180°,100%,27%,100%,55%
darkgoldenrod,#B8860B,Dark Goldenrod,43°,89%,38%,94%,72%
darkgray,#A9A9A9,Dark Gray,0°,0%,66%,0%,66%
darkgreen,#006400,Dark Green,120°,100%,20%,100%,39%
darkgrey,#A9A9A9,Dark Grey,0°,0%,66%,0%,66%
darkkhaki,#BDB76B,Dark Khaki,56°,38%,58%,43%,74%
darkmagenta,#8B008B,Dark Magenta,300°,100%,27%,100%,55%
darkolivegreen,#556B2F,Dark Olive Green,82°,39%,30%,56%,42%
darkorange,#FF8C00,Dark Orange,33°,100%,50%,100%,100%
darkorchid,#9932CC,Dark Orchid,280°,61%,50%,75%,80%
darkred,#8B0000,Dark Red,0°,100%,27%,100%,55%
darksalmon,#E9967A,Dark Salmon,15°,72%,70%,48%,91%
darkseagreen,#8FBC8F,Dark Sea Green,120°,25%,65%,24%,74%
darkslateblue,#483D8B,Dark Slate Blue,248°,39%,39%,56%,55%
darkslategray,#2F4F4F,Dark Slate Gray,180°,25%,25%,41%,31%
darkslategrey,#2F4F4F,Dark Slate Grey,180°,25%,25%,41%,31%
darkturquoise,#00CED1,Dark Turquoise,181°,100%,41%,100%,82%
darkviolet,#9400D3,Dark Violet,282°,100%,41%,100%,83%
deeppink,#FF1493,Deep Pink,328°,100%,54%,92%,100%
deepskyblue,#00BFFF,Deep Sky Blue,195°,100%,50%,100%,100%
dimgray,#696969,Dim Gray,0°,0%,41%,0%,41%
dimgrey,#696969,Dim Grey,0°,0%,41%,0%,41%
dodgerblue,#1E90FF,Dodger Blue,210°,100%,56%,88%,100%
