acceptance criteria:
specimen_frac	specimen_int_ptrm_n	specimen_b_beta	specimen_int_dang	specimen_scat
0.78	2	0.100	10.0	1.000
--------------------------------
er_sample_name	er_specimen_name	specimen_int_corr_anisotropy	Anisotropy_code	specimen_int_corr_nlt	specimen_int_corr_cooling_rate	specimen_lab_field_dc_uT	specimen_int_min_uT	specimen_int_max_uT	WARNING
mc01b	mc01b	-	-	-	-	40.0	13.0	13.4	WARNING: No anisotropy correction
mc01d	mc01d	-	-	-	-	40.0	18.3	18.3	WARNING: No anisotropy correction
mc01g	mc01g	-	-	-	-	40.0	20.7	22.5	WARNING: No anisotropy correction
mc08a	mc08a	-	-	-	-	40.0	43.6	45.1	WARNING: No anisotropy correction
mc08h	mc08h	-	-	-	-	40.0	39.9	43.3	WARNING: No anisotropy correction
mc09a	mc09a	-	-	-	-	40.0	25.4	25.4	WARNING: No anisotropy correction
mc09b	mc09b	-	-	-	-	40.0	25.9	25.9	WARNING: No anisotropy correction
mc105a	mc105a2	-	-	-	-	25.0	23.9	23.9	WARNING: No anisotropy correction
mc105c	mc105c1	-	-	-	-	25.0	24.2	24.2	WARNING: No anisotropy correction
mc105d	mc105d1	-	-	-	-	25.0	27.1	27.1	WARNING: No anisotropy correction
mc109a	mc109a1	-	-	-	-	25.0	36.9	37.8	WARNING: No anisotropy correction
mc109c	mc109c1	-	-	-	-	25.0	34.3	35.1	WARNING: No anisotropy correction
mc109d	mc109d1	-	-	-	-	25.0	33.3	33.5	WARNING: No anisotropy correction
mc109e	mc109e1	-	-	-	-	25.0	29.3	29.9	WARNING: No anisotropy correction
mc10a	mc10a	-	-	-	-	40.0	27.0	27.0	WARNING: No anisotropy correction
mc111d	mc111d2	-	-	-	-	25.0	21.5	26.4	WARNING: No anisotropy correction
mc111e	mc111e2	-	-	-	-	25.0	23.2	26.8	WARNING: No anisotropy correction
mc113j	mc113j1	-	-	-	-	25.0	11.0	11.5	WARNING: No anisotropy correction
mc113m	mc113m1	-	-	-	-	25.0	12.0	12.4	WARNING: No anisotropy correction
mc115a	mc115a2	-	-	-	-	25.0	24.2	25.1	WARNING: No anisotropy correction
mc115b	mc115b1	-	-	-	-	25.0	23.0	23.0	WARNING: No anisotropy correction
mc117a	mc117a1	-	-	-	-	25.0	25.1	26.5	WARNING: No anisotropy correction
mc117b	mc117b1	-	-	1.00	-	25.0	25.8	27.8	WARNING: No anisotropy correction
mc117d	mc117d2	-	-	-	-	25.0	26.2	27.9	WARNING: No anisotropy correction
mc117e	mc117e2	-	-	-	-	25.0	26.3	28.7	WARNING: No anisotropy correction
mc119a	mc119a1	-	-	-	-	25.0	29.2	37.2	WARNING: No anisotropy correction
mc119b	mc119b1	-	-	-	-	25.0	30.5	34.3	WARNING: No anisotropy correction
mc119d	mc119d2	-	-	-	-	25.0	30.9	35.0	WARNING: No anisotropy correction
mc119e	mc119e2	-	-	-	-	25.0	31.5	35.7	WARNING: No anisotropy correction
mc119f	mc119f2	-	-	-	-	25.0	30.6	35.1	WARNING: No anisotropy correction
mc11c	mc11c	-	-	-	-	40.0	51.4	51.4	WARNING: No anisotropy correction
mc120b	mc120b1	-	-	-	-	25.0	24.4	24.7	WARNING: No anisotropy correction
mc120c	mc120c1	-	-	1.00	-	25.0	23.4	24.7	WARNING: No anisotropy correction
mc120f	mc120f1	-	-	-	-	25.0	22.1	23.9	WARNING: No anisotropy correction
mc121g	mc121g1	1.01	AARM	-	-	25.0	33.5	36.5	
mc121k	mc121k2	1.08	AARM	-	-	25.0	23.1	23.1	
mc123a	mc123a2	-	-	-	-	25.0	32.6	34.7	WARNING: No anisotropy correction
mc123b	mc123b1	-	-	-	-	25.0	26.8	32.4	WARNING: No anisotropy correction
mc123c	mc123c3	-	-	-	-	25.0	27.7	32.8	WARNING: No anisotropy correction
mc125i	mc125i1	-	-	-	-	25.0	25.7	26.7	WARNING: No anisotropy correction
mc127a	mc127a2	-	-	-	-	25.0	37.7	41.3	WARNING: No anisotropy correction
