tab	pmag_specimens
er_specimen_name	measurement_step_min	measurement_step_max	specimen_lab_field_dc_uT	specimen_int_corr_anisotropy	specimen_int_corr_nlt	specimen_int_corr_cooling_rate	specimen_int_uT	specimen_frac	specimen_int_ptrm_n	specimen_b_beta	specimen_int_dang	specimen_scat
mc01b	0	500	40	1.00	-1.00	-	13.4	8.688e-01	4.000e+00	6.938e-02	9.141e+00	Pass
mc01b	0	550	40	1.00	-1.00	-	13.0	9.749e-01	4.000e+00	5.708e-02	6.454e+00	Pass
mc01d	0	525	40	1.00	-1.00	-	18.3	8.707e-01	4.000e+00	3.289e-02	6.024e+00	Pass
mc01g	0	300	40	1.00	-1.00	-	20.7	7.980e-01	2.000e+00	6.524e-02	2.306e+00	Pass
mc01g	0	350	40	1.00	-1.00	-	21.7	8.328e-01	2.000e+00	6.654e-02	3.126e+00	Pass
mc01g	0	400	40	1.00	-1.00	-	22.5	8.805e-01	3.000e+00	6.376e-02	3.846e+00	Pass
mc08a	0	550	40	1.00	-1.00	-	45.1	8.496e-01	5.000e+00	4.197e-02	1.338e+00	Pass
mc08a	100	550	40	1.00	-1.00	-	44.9	8.385e-01	5.000e+00	4.583e-02	1.296e+00	Pass
mc08a	150	550	40	1.00	-1.00	-	44.3	8.178e-01	5.000e+00	4.879e-02	1.223e+00	Pass
mc08a	200	550	40	1.00	-1.00	-	43.6	7.955e-01	5.000e+00	5.215e-02	1.148e+00	Pass
mc08h	0	450	40	1.00	-1.00	-	43.3	8.325e-01	3.000e+00	2.162e-02	5.008e+00	Pass
mc08h	0	500	40	1.00	-1.00	-	39.9	9.158e-01	4.000e+00	4.872e-02	4.103e+00	Pass
mc09a	0	450	40	1.00	-1.00	-	25.4	8.271e-01	3.000e+00	5.451e-02	4.108e+00	Pass
mc09b	0	450	40	1.00	-1.00	-	25.9	8.481e-01	3.000e+00	8.351e-02	1.629e+00	Pass
mc105a2	0	540	25	1.00	-1.00	-	23.9	7.918e-01	5.000e+00	5.269e-02	2.156e+00	Pass
mc105c1	0	540	25	1.00	-1.00	-	24.2	8.030e-01	5.000e+00	6.019e-02	2.876e+00	Pass
mc105d1	0	540	25	1.00	-1.00	-	27.1	7.803e-01	5.000e+00	4.083e-02	2.791e+00	Pass
mc109a1	0	550	25	1.00	-1.00	-	36.9	9.127e-01	5.000e+00	3.223e-02	8.051e-01	Pass
mc109a1	150	540	25	1.00	-1.00	-	37.8	7.981e-01	5.000e+00	3.826e-02	7.647e-01	Pass
mc109a1	150	550	25	1.00	-1.00	-	37.4	8.565e-01	5.000e+00	3.095e-02	7.869e-01	Pass
mc109a1	200	550	25	1.00	-1.00	-	37.2	8.121e-01	5.000e+00	3.333e-02	6.515e-01	Pass
mc109c1	0	550	25	1.00	-1.00	-	34.3	9.122e-01	5.000e+00	2.032e-02	1.310e+00	Pass
mc109c1	150	540	25	1.00	-1.00	-	34.8	8.220e-01	5.000e+00	1.645e-02	1.337e+00	Pass
mc109c1	150	550	25	1.00	-1.00	-	34.8	8.778e-01	5.000e+00	1.333e-02	1.243e+00	Pass
mc109c1	200	540	25	1.00	-1.00	-	35.1	7.843e-01	5.000e+00	1.549e-02	1.341e+00	Pass
mc109c1	200	550	25	1.00	-1.00	-	35.1	8.401e-01	5.000e+00	1.251e-02	1.268e+00	Pass
mc109c1	250	550	25	1.00	-1.00	-	34.8	8.024e-01	5.000e+00	1.147e-02	1.381e+00	Pass
mc109c1	300	550	25	1.00	-1.00	-	34.8	7.853e-01	5.000e+00	1.331e-02	1.310e+00	Pass
mc109d1	150	540	25	1.00	-1.00	-	33.3	8.161e-01	5.000e+00	1.997e-02	1.510e-01	Pass
mc109d1	200	540	25	1.00	-1.00	-	33.5	7.957e-01	5.000e+00	2.023e-02	4.407e-01	Pass
mc109e1	0	540	25	1.00	-1.00	-	29.3	8.296e-01	5.000e+00	2.432e-02	9.624e-01	Pass
mc109e1	150	540	25	1.00	-1.00	-	29.9	7.942e-01	5.000e+00	1.458e-02	9.821e-01	Pass
mc10a	0	450	40	1.00	-1.00	-	27.0	8.340e-01	3.000e+00	4.826e-02	5.556e+00	Pass
mc111d2	0	530	25	1.00	-1.00	-	21.5	8.200e-01	5.000e+00	5.829e-02	1.396e+00	Pass
mc111d2	0	540	25	1.00	-1.00	-	22.3	8.912e-01	5.000e+00	5.067e-02	1.384e+00	Pass
mc111d2	0	550	25	1.00	-1.00	-	22.7	9.510e-01	6.000e+00	4.382e-02	1.121e+00	Pass
mc111d2	0	560	25	1.00	-1.00	-	23.0	9.858e-01	7.000e+00	3.894e-02	9.805e-01	Pass
mc111d2	150	530	25	1.00	-1.00	-	22.1	7.968e-01	5.000e+00	5.982e-02	1.668e+00	Pass
mc111d2	150	540	25	1.00	-1.00	-	22.9	8.680e-01	5.000e+00	5.131e-02	1.568e+00	Pass
