tab	pmag_specimens
er_sample_name	er_specimen_name	specimen_int_uT	measurement_step_min	measurement_step_min	specimen_lab_field_dc	Anisotropy_correction_factor	NLT_correction_factor	Cooling_rate_correction_factor	specimen_frac	specimen_int_ptrm_n	specimen_b_beta	specimen_int_dang	specimen_scat
mc01	mc01b	13.39	0	500	40	1.00	-	-	0.87	4.00	0.07	9.14	Pass
mc01	mc01d	18.33	0	525	40	1.00	-	-	0.87	4.00	0.03	6.02	Pass
mc01	mc01g	20.67	0	300	40	1.00	-	-	0.80	2.00	0.07	2.31	Pass
mc105	mc105a2	23.93	0	540	25	1.00	-	-	0.79	5.00	0.05	2.16	Pass
mc105	mc105c1	24.21	0	540	25	1.00	-	-	0.80	5.00	0.06	2.88	Pass
mc105	mc105d1	27.08	0	540	25	1.00	-	-	0.78	5.00	0.04	2.79	Pass
mc109	mc109a1	36.92	0	550	25	1.00	-	-	0.91	5.00	0.03	0.81	Pass
mc109	mc109c1	34.28	0	550	25	1.00	-	-	0.91	5.00	0.02	1.31	Pass
mc109	mc109d1	33.55	200	540	25	1.00	-	-	0.80	5.00	0.02	0.44	Pass
mc109	mc109e1	29.91	150	540	25	1.00	-	-	0.79	5.00	0.01	0.98	Pass
mc117	mc117a1	26.38	200	530	25	1.00	-	-	0.86	4.00	0.02	1.04	Pass
mc117	mc117b1	26.34	300	540	25	1.00	1.00	-	0.82	5.00	0.03	1.07	Pass
mc117	mc117d2	26.41	250	540	25	1.00	-	-	0.87	5.00	0.03	0.97	Pass
mc117	mc117e2	26.35	300	540	25	1.00	-	-	0.79	5.00	0.03	1.04	Pass
mc119	mc119a1	33.01	200	530	25	1.00	-	-	0.80	4.00	0.08	0.47	Pass
mc119	mc119b1	32.93	150	540	25	1.00	-	-	0.80	5.00	0.05	1.51	Pass
mc119	mc119d2	33.08	200	530	25	1.00	-	-	0.87	4.00	0.06	1.53	Pass
mc119	mc119e2	33.20	150	540	25	1.00	-	-	0.93	5.00	0.05	1.01	Pass
mc119	mc119f2	32.98	200	530	25	1.00	-	-	0.86	4.00	0.07	1.58	Pass
mc120	mc120b1	24.39	250	560	25	1.00	-	-	0.85	6.00	0.01	1.46	Pass
