tab	pmag_specimens
er_sample_name	er_specimen_name	specimen_int_uT	measurement_step_min	measurement_step_min	specimen_lab_field_dc	Anisotropy_correction_factor	NLT_correction_factor	Cooling_rate_correction_factor	specimen_frac	specimen_int_ptrm_n	specimen_b_beta	specimen_int_dang	specimen_scat
mc120	mc120c1	24.13	250	560	25	1.00	1.00	-	0.91	7.00	0.01	0.39	Pass
mc120	mc120f1	23.89	350	560	25	1.00	-	-	0.83	6.00	0.03	0.61	Pass
mc123	mc123a2	32.61	200	540	25	1.00	-	-	0.82	5.00	0.04	1.48	Pass
mc123	mc123b1	32.42	0	540	25	1.00	-	-	0.89	5.00	0.04	1.58	Pass
mc123	mc123c3	32.37	150	540	25	1.00	-	-	0.84	5.00	0.04	2.20	Pass
mc127	mc127a2	37.67	0	560	25	1.00	-	-	0.83	6.00	0.02	0.93	Pass
mc127	mc127c1	37.41	150	580	25	1.00	-	-	0.93	7.00	0.01	0.67	Pass
mc127	mc127d1	37.16	300	580	25	1.00	-	-	0.84	7.00	0.01	0.79	Pass
mc128	mc128b2	35.21	0	520	25	1.00	-	-	0.83	4.00	0.04	4.78	Pass
mc128	mc128c2	35.29	0	540	25	1.00	-	-	0.84	5.00	0.02	2.30	Pass
mc128	mc128j1	35.09	150	540	25	1.00	-	-	0.87	5.00	0.04	0.79	Pass
mc13	mc13a	29.48	0	400	40	1.00	-	-	0.80	3.00	0.04	4.98	Pass
mc13	mc13c	32.77	0	450	40	1.00	-	-	0.88	3.00	0.03	2.84	Pass
mc13	mc13d	33.91	0	350	40	1.00	-	-	0.84	2.00	0.06	0.96	Pass
mc131	mc131b1	16.63	150	630	25	1.00	-	-	0.97	10.00	0.02	1.17	Pass
mc131	mc131c2	16.68	0	570	25	1.00	-	-	0.88	6.00	0.01	1.59	Pass
mc131	mc131d2	15.94	0	560	25	1.00	-	-	0.79	6.00	0.01	1.56	Pass
mc131	mc131e1	16.51	150	620	25	1.00	-	-	0.92	7.00	0.02	0.27	Pass
mc131	mc131g1	17.44	0	565	25	1.00	-	-	0.78	5.00	0.01	1.10	Pass
mc132	mc132e2	3.31	150	550	25	1.00	0.99	-	0.88	5.00	0.04	5.85	Pass
mc132	mc132f2	3.14	0	550	25	1.00	-	-	0.91	5.00	0.05	9.27	Pass
mc132	mc132g2	3.12	150	550	25	1.00	0.99	-	0.83	5.00	0.07	6.15	Pass
mc132	mc132h2	3.05	150	550	25	1.00	-	-	0.84	5.00	0.05	4.65	Pass
mc132	mc132j1	2.94	250	550	25	1.00	-	-	0.80	5.00	0.05	7.16	Pass
mc132	mc132k1	3.20	150	550	25	1.00	-	-	0.85	5.00	0.07	6.53	Pass
mc142	mc142d1	13.38	150	550	25	1.03	-	-	0.79	5.00	0.05	5.50	Pass
mc142	mc142e2	14.33	150	560	25	0.98	-	-	0.88	6.00	0.03	3.08	Pass
mc142	mc142f2	14.26	150	560	25	0.98	-	-	0.87	6.00	0.03	3.57	Pass
mc142	mc142k2	19.26	200	570	25	0.94	-	-	0.83	6.00	0.03	1.98	Pass
mc145	mc145c2	6.86	250	570	25	1.00	-	-	0.83	7.00	0.05	4.17	Pass
mc145	mc145k2	6.84	0	560	25	1.00	-	-	0.89	6.00	0.05	1.97	Pass
mc145	mc145l1	6.89	0	560	25	1.00	-	-	0.81	6.00	0.03	2.72	Pass
mc147	mc147a1	26.44	150	550	25	1.00	-	-	0.81	5.00	0.02	2.43	Pass
mc147	mc147j2	21.13	150	550	25	1.00	-	-	0.85	5.00	0.01	2.56	Pass
mc147	mc147k2	21.10	300	550	25	1.00	-	-	0.78	5.00	0.01	2.97	Pass
mc15	mc15a	25.07	0	590	40	1.01	-	-	0.92	7.00	0.02	1.32	Pass
mc15	mc15b	27.09	100	580	40	0.96	-	-	0.89	5.00	0.02	0.93	Pass
mc15	mc15c	28.40	150	590	40	0.98	-	-	0.81	6.00	0.05	1.59	Pass
mc15	mc15c2	28.70	150	575	40	0.96	-	-	0.82	5.00	0.04	0.88	Pass
mc15	mc15h	26.05	100	590	40	1.05	-	-	0.88	6.00	0.02	0.97	Pass
mc164	mc164c1	78.58	450	645	25	1.00	-	-	0.80	12.00	0.04	0.38	Pass
mc164	mc164f1	85.23	550	650	25	1.00	-	-	0.79	12.00	0.04	0.25	Pass
mc164	mc164j1	81.49	500	645	25	1.00	-	-	0.80	12.00	0.03	0.22	Pass
mc167	mc167d2	44.37	150	550	25	1.00	-	-	0.80	6.00	0.06	0.72	Pass
mc167	mc167e2	44.35	0	550	25	1.00	-	-	0.86	5.00	0.04	0.24	Pass
mc167	mc167k1	44.58	150	550	25	1.00	-	-	0.84	5.00	0.03	1.77	Pass
mc21	mc21a	46.88	0	525	40	1.00	-	-	0.81	4.00	0.04	1.68	Pass
mc21	mc21b	34.35	150	550	40	1.00	-	-	0.89	4.00	0.08	1.80	Pass
mc21	mc21c	45.80	0	550	40	1.00	-	-	0.86	5.00	0.04	1.21	Pass
mc21	mc21e	37.33	200	550	40	1.00	-	-	0.80	5.00	0.04	2.84	Pass
mc214	mc214b1	48.05	450	600	30	1.00	-	-	0.79	5.00	0.05	0.46	Pass
mc214	mc214d1	41.83	300	575	30	1.00	-	-	0.88	4.00	0.04	0.12	Pass
mc214	mc214g1	42.49	300	575	30	1.00	-	-	0.90	4.00	0.04	0.19	Pass
mc214	mc214h1	40.53	400	600	30	1.00	-	-	0.83	5.00	0.05	0.77	Pass
mc214	mc214j1	37.50	400	600	30	1.00	-	-	0.80	5.00	0.05	0.62	Pass
mc217	mc217a1	27.34	350	550	30	1.00	1.00	-	0.85	4.00	0.01	1.28	Pass
mc217	mc217b1	25.31	400	600	30	0.97	-	-	0.90	5.00	0.01	0.57	Pass
mc217	mc217c1	34.22	0	525	30	1.00	-	-	0.81	3.00	0.05	1.24	Pass
mc217	mc217d1	29.30	450	575	30	1.00	-	-	0.79	4.00	0.02	1.46	Pass
mc217	mc217e1	34.02	350	550	30	1.00	-	-	0.79	4.00	0.02	1.13	Pass
mc218	mc218a1	36.77	0	550	30	1.00	-	-	1.00	4.00	0.03	5.15	Pass
mc218	mc218b1	34.53	0	450	30	1.00	-	-	0.89	2.00	0.03	5.50	Pass
mc218	mc218d1	34.49	0	600	30	1.00	-	-	1.00	5.00	0.03	3.96	Pass
mc218	mc218i1	31.57	100	400	30	1.00	-	-	0.78	2.00	0.03	4.24	Pass
mc218	mc218j1	34.68	200	575	30	1.00	-	-	0.81	4.00	0.05	3.67	Pass
mc30	mc30a	42.68	250	570	40	1.00	-	-	0.88	6.00	0.04	0.89	Pass
mc30	mc30b	42.69	200	580	40	1.00	-	-	0.93	6.00	0.04	0.72	Pass
mc30	mc30d	42.66	250	570	40	1.00	-	-	0.88	6.00	0.04	0.73	Pass
mc30	mc30e	42.71	150	570	40	1.00	-	-	0.92	5.00	0.03	0.51	Pass
mc32	mc32a	29.44	100	550	40	1.00	-	-	0.94	3.00	0.01	0.35	Pass
mc32	mc32b	35.71	150	550	40	1.00	-	-	0.82	5.00	0.04	0.23	Pass
mc32	mc32d	40.42	300	580	40	1.00	-	-	0.90	5.00	0.04	0.48	Pass
mc32	mc32e	27.99	0	550	40	1.00	-	-	0.79	5.00	0.02	4.65	Pass
mc35	mc35a	24.64	0	550	40	1.00	-	-	0.82	5.00	0.04	1.62	Pass
mc35	mc35b	24.30	0	550	40	1.00	-	-	0.78	5.00	0.02	2.56	Pass
mc35	mc35c	25.45	100	550	40	1.00	-	-	0.78	4.00	0.03	3.55	Pass
mc36	mc36a	29.63	300	570	40	1.00	-	-	0.82	6.00	0.01	0.73	Pass
mc36	mc36b	24.61	0	500	40	1.00	-	-	0.92	4.00	0.03	3.37	Pass
mc36	mc36e	22.81	0	525	40	1.00	-	-	0.83	4.00	0.03	4.72	Pass
mc36	mc36h	25.03	100	575	40	1.00	-	-	0.87	5.00	0.04	0.83	Pass
mc44	mc44a	37.35	350	550	40	1.00	-	-	0.81	5.00	0.03	1.54	Pass
mc44	mc44b	28.02	0	550	40	1.00	-	-	0.84	5.00	0.02	1.67	Pass
mc44	mc44h	17.02	100	550	40	1.00	-	-	0.80	5.00	0.05	3.21	Pass
mc50	mc50a	35.05	300	550	40	1.00	-	-	0.91	5.00	0.03	0.99	Pass
mc50	mc50b	35.03	100	550	40	1.00	-	-	0.86	5.00	0.03	1.52	Pass
mc50	mc50f	35.08	200	550	40	1.00	-	-	0.88	5.00	0.02	0.68	Pass
